Brand, Category, Known For, Headquarter Location, Ownership
Acura, Premium, Reliability, Japanese, Honda Motors
Alfa Romeo, Luxury, Performance, Italian, Stellantis
Audi, Luxury, Performance, German, Volkswagon Audi Group (VAG)
Bentley, Ultra, Performance, UK, Volkswagon Audi Group (VAG)
Chevrolet, Mid market, Americana/Trucks/SUVs, USA, General Motors Corp
Chrysler, Mid market, Minivans, USA, Stellanis
Dodge, Mid market, Americana, USA, Stellanis
GMC, Commercial, Trucks/SUVs, USA, General Motors Corp
Hyundai, mid market, small cars and SUVs, South Korea, Hyundai Motor Company
Jaguar, Luxury, Performance, UK, Tata Motors
Jeep, Mid market, SUVs, USA, Stellanis
Land Rover, Premium, SUVs, UK, Tata Motors
Ram, Mid market, Trucks, USA, Stellanis
Subaru, Mid Market, AWD cars, Japan, Subaru Corp(Toyota Stake)
Suzuki, Inexpensive, Small cars, Japan, Suzuki(Toyota Stake)
Toyota,Mid Market,Reliability,Japan,Toyota Motor Co